symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,181.5,182.73,174.7,175.34,85315300
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,174.35,180.04,173.7,178.65,102129000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,179.99,181.58,173.7,176.54,107920900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,183.05,184.59,177.57,180.74,119660800
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,198.73,199.75,186.72,188.14,134334900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,200.52,204.52,198.5,202.64,82099200
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,204.18,205.28,198.45,201.88,85907000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,200.42,205.3,198.44,202.04,99806200
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,204.04,205.6,198.26,199.73,108645400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,192.29,201.78,192.0,199.4,111747100
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,195.31,197.57,191.5,191.97,78841900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,194.0,198.32,191.36,197.41,92739500
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,193.36,199.44,191.95,194.77,103844000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,196.13,198.6,189.13,193.76,104545800
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-16,202.06,203.17,197.4,199.95,111173600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-15,189.16,200.88,188.86,200.45,120831800
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-14,185.3,188.89,183.35,188.71,81203000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-13,183.99,187.26,182.11,184.02,86759500
